"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:3h9XWvjgikKRXXpSCWT1gp","Fırtınalar","spotify:artist:5AboYJAlMb9FGadTTDKRoN","Ebru Gündeş","spotify:album:1tnlwu8SmyKxU2LkgwDNMT","Ben Daha Büyümedim","spotify:artist:5AboYJAlMb9FGadTTDKRoN","Ebru Gündeş","1995-03-16","https://i.scdn.co/image/ab67616d0000b2737d182dd74e7bcdb66252fe91","1","2","264600","https://p.scdn.co/mp3-preview/f578690e8d210c2e1d74cdd20e26a5a40b083441?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","TR8571000706","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0dtIwQGTANCNpMVP1qrXM1","Sor","spotify:artist:7BJjzi0JHyDHAsmVe21dGa","Serdar Ortaç","spotify:album:0wJbxaUr4FeCXU0gi4kcVa","Mesafe","spotify:artist:7BJjzi0JHyDHAsmVe21dGa","Serdar Ortaç","2006-04-25","https://i.scdn.co/image/ab67616d0000b2736ec24cd9406bdeee20a36a4f","1","1","235213","https://p.scdn.co/mp3-preview/c6e7d55dd232ace9eb6418c1ad16ce7bac95ebc6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","TR0070600011","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:58dGRQrNmAJeRMFuguUbvD","Go Down Deh (feat. Shaggy and Sean Paul)","spotify:artist:0wEvWMQRqaXcgnrZv6KtyL, spotify:artist:5EvFsr3kj42KNv97ZEnqij, spotify:artist:3Isy6kedDrgPYoTS1dazA9","Spice, Shaggy, Sean Paul","spotify:album:7pKLvzqcLuNx96e59VFREP","10","spotify:artist:0wEvWMQRqaXcgnrZv6KtyL","Spice","2021-08-06","https://i.scdn.co/image/ab67616d0000b2731443548e9f0e97cca50f749c","1","3","154151","https://p.scdn.co/mp3-preview/ccc41f7414af44222629120fdd4112f037749037?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","USVPR2100046","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0DJDDTRaX2uQVPJBRjcjsF","16 Shots","spotify:artist:2ExGrw6XpbtUAJHTLtUXUD","Stefflon Don","spotify:album:0GU9HTZM4UMFAdyrYob9WP","Real Ting Mixtape","spotify:artist:2ExGrw6XpbtUAJHTLtUXUD","Stefflon Don","2016-12-16","https://i.scdn.co/image/ab67616d0000b2737ecc15a12ad9fa380bb99b36","1","7","224727","https://p.scdn.co/mp3-preview/eec31344fbd53f017cc664cf8907e4b3d76b6e66?cid=9950ac751e34487dbbe027c4fd7f8e99","true","58","US23A1500365","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1lr5prHQn7Q766Ix6eGRKK","Freed from Desire (feat. Indiiana)","spotify:artist:3nmaO18tcMzfrrR7sdJHnH, spotify:artist:6oHCxanXnGoT4ntOtXwsWX","Drenchill, Indiiana","spotify:album:3zc3R5pVjF0r81hJc7gpBQ","Freed from Desire (feat. Indiiana)","spotify:artist:3nmaO18tcMzfrrR7sdJHnH, spotify:artist:6oHCxanXnGoT4ntOtXwsWX","Drenchill, Indiiana","2018-11-09","https://i.scdn.co/image/ab67616d0000b2738aff128278ab461897fd75bb","1","1","161453","https://p.scdn.co/mp3-preview/2340423931f65cc5b7af7bf2332c5f5e077bf9c4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","DEMA61800740","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1LLew0Q24EfhVRgHllvuf5","Çakmak Çakmak","spotify:artist:2IiSMrjpXiteqhISWXkdUG, spotify:artist:2yMN0IP20GOaN6q0p0zL5k","Sibel Can, Tarkan","spotify:album:3crwdW8zGlirHjsPvBV7Tq","Akşam Sefası","spotify:artist:2IiSMrjpXiteqhISWXkdUG","Sibel Can","2007-06-14","https://i.scdn.co/image/ab67616d0000b2733f0739f1baed67b87341cbb9","1","1","252520","https://p.scdn.co/mp3-preview/fec798dd6825aa0eed08b674a2933351648acc91?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","TR0070700061","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4WtCKM99pYcl8pOAZI8Dbu","Ben Aptal mıyım","spotify:artist:1PpRPZXSS5ka7m5NW2TO7q","Nil Karaibrahimgil","spotify:album:2HYPBl4uMgym3HqkGexAuH","Nil FM","spotify:artist:1PpRPZXSS5ka7m5NW2TO7q","Nil Karaibrahimgil","2004-01-22","https://i.scdn.co/image/ab67616d0000b273a6efafd6e031ec3b3c6a3599","1","8","194946","https://p.scdn.co/mp3-preview/fe634d33d5e22a7d3c33de2157ad91744e079362?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","TRA160400007","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1esZgaqm0YKN87CIP3orJ3","Rampampam","spotify:artist:5T0j6On1EthT2QVNXh8vqc","Minelli","spotify:album:2T8Pt4GzZ0CgaFeEugC1Zj","Rampampam","spotify:artist:5T0j6On1EthT2QVNXh8vqc","Minelli","2021-06-18","https://i.scdn.co/image/ab67616d0000b273a57204101e902c8ef5f6d61e","1","1","200211","https://p.scdn.co/mp3-preview/700dad061261efadd9fb0a7eb002f04872ab7e49?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","ROGRA2101471","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:38SZCSmXZJDoaEf0YjQQv6","Ölüyorum","spotify:artist:3hzijSzD6IwOV4SY2SiWQp","Hayko Cepkin","spotify:album:3M2ZvUUgry330fwhb66N8z","Tanışma Bitti","spotify:artist:3hzijSzD6IwOV4SY2SiWQp","Hayko Cepkin","2007-05-22","https://i.scdn.co/image/ab67616d0000b27326487cf0d65e180fdb4de36d","1","11","221253","https://p.scdn.co/mp3-preview/e65a2604dce982e57eddf8f4182780236d63d063?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","TRAAA0700012","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4obMuJXFa9APNiFtlQHFBh","Tokyo","spotify:artist:00OLN5o0Ba1W6KkjRi5jWd, spotify:artist:5P4P6G0pubLi65R3zRnSCf","Dwin, Kush Kush","spotify:album:3vTD4MwDGe43XjKk0eNCNg","Tokyo","spotify:artist:00OLN5o0Ba1W6KkjRi5jWd, spotify:artist:5P4P6G0pubLi65R3zRnSCf","Dwin, Kush Kush","2020-11-13","https://i.scdn.co/image/ab67616d0000b273348349ed62f199d5a51c0dce","1","1","132890","https://p.scdn.co/mp3-preview/aabe2a516ccc1fd5f78848349783445b54fcdf82?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","DEXO42028110","spotify:user:","1970-01-01T00:00:00Z"
